"ID","DRIVE_DURATION","DRIVE_DISTANCE"
"1365","433","3003"
"1366","524","4290"
"1367","433","3169"
"1368","437","3024"
"1369","449","3227"
"1370","438","3140"
"1371","469","3392"
"1372","446","3185"
"1373","474","3495"
"1374","455","3229"
"1375","484","4089"
"1376","478","3495"
"1377","471","3485"
"1378","491","3642"
"1379","484","3798"
"1380","472","3735"
"1381","460","3675"
"1382","428","3569"
"1383","411","3427"
"1384","295","2368"
"1385","293","2533"
"1386","288","2465"
"1387","345","2375"
"1388","355","2429"
"1389","338","2372"
"1390","345","2403"
"1391","347","2505"
"1392","339","2613"
"1393","351","2673"
"1394","326","2216"
"1395","290","2057"
"1396","296","2049"
"1397","307","2102"
"1398","312","1890"
"1399","307","2039"
"1400","287","1932"
"1401","298","2018"
"1402","281","1868"
"1403","357","3025"
"1404","348","2995"
"1405","370","3099"
"1406","379","3264"
"1407","394","3178"
"1408","381","3119"
"1409","312","2151"
"1410","330","2175"
"1411","441","3588"
"1412","428","3601"
"1413","353","2917"
"1414","311","2729"
"1415","404","2880"
"1416","420","2933"
"1417","431","2984"
"1418","292","2362"
"1419","256","2026"
"1420","255","2022"
"1421","250","1974"
"1422","251","1975"
"1423","255","2064"
"1424","272","2263"
"1425","298","2377"
"1426","313","2445"
"1427","260","2040"
"1428","264","2168"
"1429","264","2167"
"1430","462","4975"
"1431","437","3373"
"1432","423","3294"
"1433","455","3452"
"1434","448","3402"
"1435","399","3345"
"1436","404","3363"
"1437","294","2184"
"1438","274","2093"
"1439","262","2033"
"1440","252","1918"
"1441","252","1688"
"1442","230","1557"
"1443","236","1622"
"1444","236","1684"
"1445","241","1688"
"1446","274","2050"
"1447","500","4810"
"1448","253","1953"
"1449","249","1957"
"1450","267","2054"
"1451","266","2037"
"1452","266","2037"
"1453","253","1948"
"1454","266","2123"
"1455","282","2293"
"1456","271","2244"
"1457","297","2343"
"1458","272","1337"
"1459","491","5114"
"1460","479","5055"
"1461","413","3171"
"1462","417","3193"
"1463","414","3150"
"1464","412","3005"
"1465","373","3172"
"1466","373","3172"
"1467","541","4111"
"1468","496","4022"
"1469","343","2136"
"1470","359","2206"
"1471","335","1975"
"1472","337","2041"
"1473","366","2176"
"1474","349","2103"
"1475","298","1839"
"1476","322","1971"
"1477","309","1908"
"1478","327","1848"
"1479","327","1848"
"1480","327","1848"
"1481","281","1647"
"1482","259","1514"
"1483","296","1699"
"1484","302","1746"
"1485","279","1634"
"1486","284","1654"
"1487","299","1728"
"1488","304","1749"
"1489","404","2688"
"1490","382","2597"
