ID	ELEMENT_ID	ADDRESS
399	308	Москва, ул. Маршала Бирюзова, д. 4, корп.2
400	309	Москва, ул. Народного Ополчения, д. 42, корп.2
401	310	Москва, ул. Берзарина, д. 6, корп.2
402	311	Москва, ул. Маршала Катукова, д. 25, корп.2
403	312	Москва, ул. Маршала Катукова, д. 9, корп.2
404	313	Москва, Пятницкое ш., д. 29, корп. 4
405	314	Москва, ул. Митинская, д. 50, корп.1
406	315	Москва, Пятницкое ш., д. 31, корп.1
407	316	Москва, Новокуркинское ш., д. 51
408	317	Москва, ул. Новогорская, д. 67
409	318	Москва, ул. Соколово-Мещерская, д. 4, корп.1
410	319	Москва, ул. Соколово-Мещерская, д. 28, корп.1
411	320	Москва, ул. Вилиса Лациса, д. 7, корп. 2
412	321	Москва, ул. Героев Панфиловцев, д. 14, корп.3
413	322	Москва, ул. Вилиса Лациса, д. 19, корп. 3
414	323	Москва, ул. Родионовская, д. 6/7
415	323	Москва, ул. Родионовская, д. 8
416	323	Москва, ул. Юровская, д.116 (здание ДОУ)
417	324	Москва, ул. Соловьиная роща, д. 14
418	325	Москва, Яна Райниса бульв., д. 4, корп. 2
419	326	Москва, ул. Героев Панфиловцев, д. 13, корп. 2
420	327	Москва, ул. Туристская, д. 14, корп. 6
421	328	Москва, Яна Райниса бульв., д. 2, корп. 5
422	329	Москва, ул. Героев Панфиловцев, д. 3, корп. 2
423	330	Москва, ул. Дубравная, д. 41, корп. 3
424	331	Москва, ул. Дубравная, д. 35, корп. 1
425	332	Москва, ул. Дубравная, д. 35, корп. 2
426	333	Москва, ул. Ландышевая, д. 8
427	334	Москва, Куркинское ш., д. 17, корп. 3
428	335	Москва, ул. Соловьиная роща, д. 5
429	336	Москва, ул. Митинская, домовлад. 14
430	337	Москва, ул. Центральная, д. 24
431	338	Москва, ул. Митинская, домовлад. 15, корп.2
432	339	Москва, ул. Митинская, д. 10, корп. 2
433	340	Москва, ул. Маршала Катукова, д. 12, корп. 3
434	341	Москва, ул. Кулакова, д. 17, корп. 2
435	342	Москва, ул. Маршала Катукова, д. 12, корп. 2
436	343	Москва, ул. Маршала Катукова, д. 4, корп. 2
437	344	Москва, ул. Свободы, д. 26
438	345	Москва, ул. Лодочная, д. 37, корп.4
439	346	Москва, ул. Юровская, д. 97
440	346	Москва, ул. Юровская, д. 97, корп.1 (здание ДОУ)
441	347	Москва, Новокуркинское ш., д. 27, корп. 2
442	348	Москва, ул. Юровская, д. 120
443	349	Москва, ул. Маршала Конева, д. 11
444	350	Москва, ул. Маршала Бирюзова, д. 6
445	351	Москва, ул. Маршала Конева, д. 1
446	352	Москва, ул. Берзарина, д.24
447	353	Москва, 1-й Волоколамский пр., д.9, корп.1
448	354	Москва, ул. Рословка, д. 8
449	355	Москва, ул. Генерала Белобородова, д. 22
450	356	Москва, ул. Генерала Белобородова, д. 14, корп.4
451	357	Москва, ул. Рословка, д. 8, корп.1
452	358	Москва, Новотушинский пр., д. 8
453	359	Москва, Пятницкое ш., д. 7, корп. 2
454	360	Москва, Пятницкое ш., д. 7, корп. 3
455	361	Москва, Пятницкое ш., д. 42, корп. 2
456	362	Москва, Пятницкое ш., д. 40, корп. 2
457	363	Москва, ул. Авиационная, д. 71, корп. 3
458	364	Москва, ул. Авиационная, д. 71
459	365	Москва, ул. Новощукинская, д. 8, корп.2
460	366	Москва, ул. Новощукинская, д. 10, корп.3
