ID	COMPLEX_ID	ADDRESS
397	83	Москва, Яна Райниса бульв., д. 35, корп.1
398	83	Москва, ул. Туристская, д. 7, корп.2
399	84	Москва, ул. Таллинская, д. 19, корп.2
400	84	Москва, ул. Таллинская, д. 11, корп.2
401	85	Москва, Тепличный пер., д. 5, корп.1
402	85	Москва, ул. Маршала Бирюзова, д. 4, корп.2
403	85	Москва, ул. Народного Ополчения, д. 42, корп.2
404	85	Москва, ул. Берзарина, д. 6, корп.2
405	86	Москва, ул. Маршала Катукова, д. 25, корп.2
406	86	Москва, ул. Маршала Катукова, д. 9, корп.2
407	87	Москва, Пятницкое ш., д. 29, корп. 4
408	87	Москва, ул. Митинская, д. 50, корп.1
409	87	Москва, Пятницкое ш., д. 31, корп.1
410	88	Москва, Новокуркинское ш., д. 51
411	88	Москва, ул. Новогорская, д. 67
412	88	Москва, ул. Соколово-Мещерская, д. 4, корп.1
413	88	Москва, ул. Соколово-Мещерская, д. 28, корп.1
414	89	Москва, ул. Вилиса Лациса, д. 7, корп. 2
415	89	Москва, ул. Героев Панфиловцев, д. 14, корп.3
416	89	Москва, ул. Вилиса Лациса, д. 19, корп. 3
417	90	Москва, ул. Родионовская, д. 6/7
418	90	Москва, ул. Родионовская, д. 8
419	90	Москва, ул. Юровская, д.116 (здание ДОУ)
420	90	Москва, ул. Соловьиная роща, д. 14
421	91	Москва, Яна Райниса бульв., д. 4, корп. 2
422	91	Москва, ул. Героев Панфиловцев, д. 13, корп. 2
423	91	Москва, ул. Туристская, д. 14, корп. 6
424	91	Москва, Яна Райниса бульв., д. 2, корп. 5
425	91	Москва, ул. Героев Панфиловцев, д. 3, корп. 2
426	92	Москва, ул. Дубравная, д. 41, корп. 3
427	92	Москва, ул. Дубравная, д. 35, корп. 1
428	92	Москва, ул. Дубравная, д. 35, корп. 2
429	93	Москва, ул. Ландышевая, д. 8
430	93	Москва, Куркинское ш., д. 17, корп. 3
431	93	Москва, ул. Соловьиная роща, д. 5
432	94	Москва, ул. Митинская, домовлад. 14
433	94	Москва, ул. Центральная, д. 24
434	94	Москва, ул. Митинская, домовлад. 15, корп.2
435	94	Москва, ул. Митинская, д. 10, корп. 2
436	95	Москва, ул. Маршала Катукова, д. 12, корп. 3
437	95	Москва, ул. Кулакова, д. 17, корп. 2
438	95	Москва, ул. Маршала Катукова, д. 12, корп. 2
439	95	Москва, ул. Маршала Катукова, д. 4, корп.
440	96	Москва, ул. Свободы, д. 26
441	96	Москва, ул. Лодочная, д. 37, корп.4
442	97	Москва, ул. Юровская, д. 97
443	97	Москва, ул. Юровская, д. 97, корп.1
444	97	Москва, ул. Юровская, д. 120
445	97	Москва, Новокуркинское ш., д. 27, корп. 2
446	98	Москва, ул. Маршала Конева, д. 11
447	98	Москва, ул. Маршала Бирюзова, д. 6
448	98	Москва, ул. Маршала Конева, д. 10
449	98	Москва, ул. Берзарина, д.24
450	98	Москва, 1-й Волоколамский пр., д.9, корп.1
451	99	Москва, ул. Рословка, д. 8
452	99	Москва, ул. Генерала Белобородова, д. 22
453	99	Москва, ул. Генерала Белобородова, д. 14, корп.4
454	99	Москва, ул. Рословка, д. 8, корп.1
455	100	Москва, Новотушинский пр., д. 8
456	100	Москва, Пятницкое ш., д. 7, корп. 2
457	100	Москва, Пятницкое ш., д. 7, корп. 3
458	101	Москва, Пятницкое ш., д. 42, корп. 2
459	101	Москва, Пятницкое ш., д. 40, корп. 2
460	102	Москва, ул. Авиационная, д. 71, корп. 3
461	102	Москва, ул. Авиационная, д. 71
462	102	Москва, ул. Новощукинская, д. 8, корп.2
