"ID","SHAPE_LENGTH","SHAPE_AREA"
485,1751.127895,125502.616199
486,3430.555312,515640.033113
487,2275.504394,233454.383743
488,2732.084541,384451.276111
489,3359.033132,389354.908057
490,3214.28097,436263.066352
491,413.625955,9092.281215
492,2078.398326,239560.103994
493,9385.29077,1206059.623241
494,1451.100402,128106.342244
495,5410.96029,610120.184686
496,4205.664124,798282.018318
497,2618.6928,286560.937367
498,1045.166442,24153.800376
499,3091.086526,413856.599459
500,6063.252786,1621681.334025
501,3047.588149,177565.216985
502,1992.666866,161920.423611
503,1372.230279,88294.152906
504,1374.0354,119962.768537
505,1744.964813,150231.841671
506,2312.196679,287552.712372
507,4171.807756,749632.41621
508,2447.027418,188011.91288
509,2134.564968,279268.598332
510,1016.638732,46935.329759
511,5182.247686,1054264.979159
512,2615.247025,415262.005192
513,2907.580299,361152.871671
514,2376.491346,197560.908816
515,2634.065,200670.813775
516,1934.371898,149798.767526
517,3811.238915,840308.929794
518,2665.593785,438889.391252
519,4267.928723,722436.396232
520,3181.421425,589556.286511
521,3051.934205,578320.48129
522,2266.203938,319863.337702
523,5866.009533,529927.497889
524,1951.680398,182392.743125
525,2337.374088,259118.185188
526,4004.286728,534051.318368
527,4661.658227,1014037.773302
528,1842.409248,142467.543995
529,1442.700616,102930.311294
530,2909.922989,366190.248855
531,2275.612481,177408.795947
532,2427.728909,337319.487816
533,3218.044991,596930.099064
534,1744.475471,81989.410358
535,3461.932123,763847.169774
536,1206.74755,93389.517398
537,3402.301192,668259.649716
538,2932.262777,568411.214137
539,3993.613772,903001.210985
540,4717.897351,1047550.59344
541,7353.790299,1190554.637913
542,3343.660967,587971.794886
543,6777.896777,1473527.321995
544,5271.274224,681257.91339
545,2852.94257,525843.257429
546,3802.628398,752694.891217
547,4264.626196,915135.227035
548,913.518154,48713.275603
549,2159.132952,284281.514299
550,4872.500901,1407132.051859
551,3720.312837,769330.790769
552,2776.832951,486016.994837
553,3884.973983,931142.261989
554,3321.806376,451653.281392
555,1893.999439,215778.067179
556,1729.213204,206065.386905
557,5247.047474,1291010.817143
558,4087.959553,747850.416301
559,4618.15912,1084662.424592
560,2169.719919,232835.104047
561,4276.518786,958122.188993
562,2597.294529,282076.405958
563,3243.580451,599352.876164
564,4322.810455,1001452.616139
565,863.103204,47227.285014
566,5174.52807,590208.261786
567,1243.126963,95534.33864
568,5969.159918,1215910.940803
569,6936.651864,1838963.850275
570,10039.171928,1690997.952501
571,3594.59512,881711.383188
572,4073.510669,867691.775871
573,1765.810752,153835.632665
574,6009.294836,1327244.669495
575,5562.007086,1229962.534621
576,9610.369053,3526659.617584
577,2971.603871,584927.810851
578,5853.84584,1539201.172928
579,2363.525284,308492.404771
580,2672.798987,315068.072635
581,2812.958346,224854.027596
582,2023.121699,245481.719176
583,5150.725288,1097061.003403
584,10384.469096,2062638.824481
585,4780.766481,624788.366601
586,5972.666842,1949448.762549
587,4887.747457,988201.806891
