"OBJECTID";"ID";"NAME";"NUMB";"TYPE";"CURRENT_USE";"CLOSED";"ADDRESS";"OKRUG";"RAYON";"COMPLEX_ID";"RATING";"POINT_X";"POINT_Y"
80;10171,000000;"Государственное бюджетное образовательное учреждение города Москвы гимназия №201 ордена Трудового Красного Знамени имени Героев Советского Союза Зои и Александра Космодемьянских";201,000000;"гимназия";"";"FALSE";"125130, г. Москва, улица Зои и Александра Космодемьянских, дом 3";"САО";"Войковский";202,000000;320,000000;37,504292;55,821397
81;10172,000000;"Государственное бюджетное образовательное учреждение города Москвы прогимназия №45";45,000000;"прогимназия";"начальная школа";"FALSE";"117036, г. Москва, ул. Гримау, д.8";"ЮЗАО";"Академический";505,000000;0,000000;37,579678;55,691641
82;10173,000000;"Государственное бюджетное образовательное учреждение города Москвы гимназия №45 имени Л.И.Мильграма";45,000000;"гимназия";"средняя школа";"FALSE";"117036, г. Москва, ул. Гримау, д.8";"ЮЗАО";"Академический";505,000000;0,000000;37,579726;55,691000
83;10174,000000;"Государственное бюджетное образовательное учреждение города Москвы гимназия №625";625,000000;"гимназия";"";"FALSE";"117449, г. Москва, ул. Шверника, д. 17, корп. 2";"ЮЗАО";"Академический";534,000000;0,000000;37,593372;55,692118
84;10175,000000;"Государственное бюджетное образовательное учреждение города Москвы центр образования №1272";1272,000000;"центр образования";"начальная школа";"FALSE";"115280, г. Москва, 1-й Кожуховский проезд, д.17";"ЮАО";"Даниловский";360,000000;0,000000;37,662884;55,707598
85;10176,000000;"Государственное бюджетное образовательное учреждение города Москвы центр образования №1272";1272,000000;"центр образования";"средняя школа";"FALSE";"115280, г. Москва, 1-й Кожуховский проезд, д.17";"ЮАО";"Даниловский";360,000000;108,000000;37,663861;55,708116
86;10178,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1192";1192,000000;"школа";"";"FALSE";"125310, г. Москва, Пятницкое шоссе, д. 45, корп. 2";"СЗАО";"Митино";117,000000;0,000000;37,345754;55,855403
87;10177,000000;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1549";1549,000000;"гимназия";"";"FALSE";"125310, г. Москва, Пятницкое шоссе, д. 45, корп. 2";"СЗАО";"Митино";117,000000;0,000000;37,345821;55,854661
88;10179,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского и французского языков №1358";1358,000000;"школа";"";"FALSE";"125310, г. Москва, Пятницкое шоссе, д. 45, корп. 2";"СЗАО";"Митино";117,000000;42,000000;37,346736;55,856738
89;10180,000000;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1452 «Богородская»";1452,000000;"гимназия";"";"FALSE";"107564, г. Москва, ул. 1-я Гражданская, д.96";"ВАО";"Богородское";637,000000;0,000000;37,709005;55,807256
90;10181,000000;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1504";1504,000000;"гимназия";"";"FALSE";"111555, город Москва, улица Сталеваров, дом 10 А";"ВАО";"Ивановское";691,000000;187,000000;37,838039;55,762339
91;10184,000000;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1518";1518,000000;"гимназия";"средняя школа";"FALSE";"129085, г. Москва, проспект Мира, д. 87";"СВАО";"Останкинский";278,000000;9,000000;37,634879;55,803707
92;10183,000000;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1518";1518,000000;"гимназия";"начальная школа";"FALSE";"129085, г. Москва, проспект Мира, д. 87";"СВАО";"Останкинский";278,000000;0,000000;37,635144;55,802929
93;10185,000000;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1539";1539,000000;"гимназия";"";"FALSE";"129626, г. Москва, ул. Староалексеевская, дом 1";"СВАО";"Алексеевский";294,000000;232,000000;37,642074;55,810397
94;10186,000000;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1563";1563,000000;"гимназия";"средняя школа";"FALSE";"105215,  Москва, ул. 13-я  Парковая,  д. 33";"ВАО";"Северное Измайлово";669,000000;72,000000;37,810513;55,807501
95;10187,000000;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1748 «Вертикаль»";1748,000000;"гимназия";"";"FALSE";"105484, г. Москва, Сиреневый бульвар, д. 73, корп. 3";"ВАО";"Северное Измайлово";689,000000;243,000000;37,827850;55,804892
96;10188,000000;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1748 «Вертикаль»";1748,000000;"гимназия";"";"FALSE";"105484, г. Москва, Сиреневый бульвар, д. 73, корп. 3";"ВАО";"Северное Измайлово";689,000000;0,000000;37,833479;55,802589
97;10189,000000;"Государственное бюджетное образовательное учреждение города Москвы гимназия «Государственная столичная гимназия»";0,000000;"гимназия";"средняя школа";"FALSE";"127543 Белозерская улица, д. 12";"СВАО";"Бибирево";250,000000;85,000000;37,616216;55,895605
98;10190,000000;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1508 «Измайловская»";1508,000000;"гимназия";"";"FALSE";"105043, Первомайская улица, 65";"ВАО";"Измайлово";679,000000;127,000000;37,795689;55,793866
99;10191,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №695";695,000000;"школа";"";"FALSE";"105043, Первомайская улица, 65";"ВАО";"Измайлово";679,000000;0,000000;37,802662;55,792062
