"ID","WALKING_DURATION_215","WALKING_DISTANCE_215"
"1435","2874","3975"
"1436","2887","3992"
"1437","2802","3870"
"1438","2735","3779"
"1439","2688","3718"
"1440","2638","3661"
"1441","2696","3734"
"1442","2597","3603"
"1443","2449","3392"
"1444","2353","3249"
"1445","2360","3253"
"1446","2195","3020"
"1447","3207","4459"
"1448","2128","2928"
"1449","2082","2859"
"1450","2015","2763"
"1451","2077","2850"
"1452","2077","2850"
"1453","2072","2842"
"1454","2000","2744"
"1455","1895","2597"
"1456","1867","2557"
"1457","1864","2545"
"1458","1780","2440"
"1459","3187","4432"
"1460","3145","4372"
"1461","2413","3377"
"1462","2401","3360"
"1463","2213","3083"
"1464","2194","3047"
"1465","2741","3801"
"1466","2741","3801"
"1467","2967","4140"
"1468","234","316"
"1469","1074","1469"
"1470","1028","1398"
"1471","1101","1502"
"1472","1054","1435"
"1473","1026","1385"
"1474","1015","1374"
"1475","1204","1649"
"1476","1105","1505"
"1477","1262","1724"
"1478","1448","1990"
"1479","1448","1990"
"1480","1448","1990"
"1481","1379","1893"
"1482","1435","1983"
"1483","1496","2069"
"1484","1528","2116"
"1485","1455","2000"
"1486","1471","2020"
"1487","1526","2093"
"1488","1542","2115"
"1489","761","1045"
"1490","849","1148"
"1491","900","1213"
"1492","710","969"
"1493","696","951"
"1494","848","1141"
"1495","845","1137"
"1496","1005","1353"
"1497","899","1207"
"1498","692","940"
"1499","692","940"
"1500","635","869"
"1501","692","940"
"1502","742","1002"
"1503","824","1106"
"1504","911","1229"
"1505","1067","1451"
"1506","969","1313"
"1507","841","1132"
"1508","776","1049"
"1509","833","1132"
"1510","1128","1542"
"1511","1128","1542"
"1512","1128","1542"
"1513","1128","1542"
"1514","1128","1542"
"1515","889","1206"
"1516","1100","1519"
"1517","1147","1585"
"1518","1176","1627"
"1519","862","1173"
"1520","1041","1432"
"1521","1007","1394"
"1522","372","508"
"1523","471","643"
"1524","484","662"
"1525","568","774"
"1526","565","773"
"1527","555","759"
"1528","394","549"
"1529","465","657"
"1530","331","479"
"1531","411","593"
"1532","399","564"
"1533","500","684"
"1534","607","828"
"1535","607","828"
"1536","525","719"
"1537","455","646"
"1538","134","193"
"1539","422","601"
"1540","407","587"
"1541","307","442"
"1542","197","285"
"1543","191","279"
"1544","190","278"
"1545","152","225"
"1546","539","762"
"1547","634","873"
"1548","811","1139"
"1549","283","409"
"1550","808","1138"
"1551","819","1154"
"1552","442","627"
"1553","443","633"
"1554","345","498"
"1555","350","500"
"1556","316","457"
"1557","285","415"
"1558","616","855"
"1559","764","1041"
"1560","784","1072"
"1561","790","1092"
"1562","816","1155"
"1563","737","1040"
"1564","368","519"
"1565","790","1111"
"1566","677","962"
"1567","699","998"
"1568","692","985"
"1569","778","1105"
"1570","773","1097"
"1571","857","1213"
"1572","863","1221"
"1573","592","784"
"1574","647","834"
"1575","882","1139"
"1576","900","1165"
"1577","847","1089"
"1578","413","514"
"1579","518","683"
"1580","546","697"
"1581","574","737"
"1582","234","316"
"1583","27","38"
"1584","309","428"
"1585","442","613"
"1586","339","473"
"1587","285","402"
"1588","676","933"
"1589","504","708"
"1590","447","635"
"1591","506","722"
"1592","538","759"
"1593","516","735"
"1594","607","822"
"1595","1562","2154"
"1596","1446","1992"
"1597","1770","2428"
"1598","1463","2006"
"1599","1738","2385"
"1600","1752","2403"
"1601","1373","1888"
"1602","1359","1869"
"1603","1302","1788"
"1604","1290","1771"
"1605","1084","1486"
"1606","1080","1476"
"1607","1010","1377"
"1608","922","1244"
"1609","973","1327"
"1610","919","1248"
"1611","883","1195"
"1612","735","1009"
"1613","699","960"
"1614","614","845"
"1615","572","779"
"1616","428","585"
"1617","390","528"
"1618","358","492"
"1619","366","503"
"1620","246","345"
"1621","307","432"
"1622","395","502"
"1623","336","450"
"1624","266","363"
"1625","246","333"
"1626","113","154"
"1627","105","142"
"1628","71","100"
"1629","157","225"
"1630","1067","1409"
"1631","971","1266"
"1632","112","144"
"1633","46","53"
"1634","1086","1436"
"1635","1034","1351"
"1636","138","179"
"1637","145","188"
"1638","0","0"
"1639","190","252"
"1640","1771","2430"
"1641","1664","2283"
"1642","1637","2243"
"1643","1543","2112"
"1644","1487","2043"
"1645","1137","1580"
"1646","1137","1580"
"1647","1085","1506"
"1648","959","1341"
"1649","941","1322"
"1650","832","1178"
"1651","870","1228"
"1652","908","1277"
"1653","920","1295"
"1654","719","1028"
"1655","543","776"
"1656","589","850"
"1657","493","708"
"1658","507","723"
"1659","469","672"
"1660","443","636"
"1661","433","621"
"1662","522","747"
"1663","540","772"
"1664","567","813"
"1665","621","885"
"1666","1001","1365"
"1667","1262","1726"
"1668","1224","1673"
"1669","1122","1533"
"1670","1073","1471"
"1671","1085","1482"
"1672","1072","1463"
"1673","953","1301"
"1674","997","1367"
"1675","985","1349"
"1676","926","1268"
"1677","1004","1370"
"1678","931","1268"
"1679","874","1190"
"1680","859","1170"
"1681","797","1091"
"1682","778","1064"
"1683","925","1262"
"1684","720","985"
"1685","701","956"
"1686","628","838"
"1687","607","808"
"1688","626","836"
"1689","506","682"
"1690","499","670"
"1691","773","1058"
"1692","787","1078"
"1693","840","1151"
"1694","925","1269"
"1695","933","1280"
"1696","653","881"
"1697","663","899"
"1698","706","969"
"1699","710","975"
"1700","644","882"
"1701","654","889"
"1702","623","843"
"1703","450","601"
"1704","448","602"
"1705","472","630"
"1706","479","634"
"1707","538","681"
"1708","1202","1646"
"1709","1145","1567"
"1710","1188","1626"
"1711","1128","1543"
"1712","1086","1477"
"1713","1029","1398"
"1714","1071","1457"
"1715","1045","1419"
"1716","1139","1571"
"1717","1128","1554"
"1718","1072","1478"
"1719","985","1352"
"1720","899","1243"
"1721","916","1262"
"1722","976","1340"
"1723","884","1219"
"1724","840","1155"
"1725","1063","1452"
"1726","1047","1431"
"1727","949","1295"
"1728","1035","1412"
