"OBJECTID";"ADDRESS";"settlement";"street";"building_n";"geocoded";"ID";"POINT_X";"POINT_Y";"NEAR_FID";"NEAR_DIST";"NEAR_X";"NEAR_Y"
3390;"Москва, Покровка ул, д.28, стр.5";" ";" ";" ";"Россия, Москва, улица Покровка, 28с5";10845;37,649894;55,759977;1723;0,001925;37,651526;55,758956
3391;"Москва, Покровка ул, д.28, стр.7";" ";" ";" ";"Россия, Москва, улица Покровка, 28с7";10846;37,650881;55,759734;1723;0,001009;37,651526;55,758956
3392;"Москва, Покровка ул, д.29";" ";" ";" ";"Россия, Москва, улица Покровка, 29";10847;37,648635;55,760174;1109;0,003063;37,648667;55,763238
3393;"Москва, Покровка ул, д.30";" ";" ";" ";"Россия, Москва, улица Покровка, 30";10848;37,650307;55,760321;1723;0,001830;37,651526;55,758956
3394;"Москва, Покровка ул, д.31, стр.1";" ";" ";" ";"Россия, Москва, улица Покровка, 31с1";10849;37,649409;55,760844;1109;0,002506;37,648667;55,763238
3395;"Москва, Покровка ул, д.31, стр.1Г";" ";" ";" ";"Россия, Москва, улица Покровка, 31с1г";10850;37,649111;55,760672;1109;0,002604;37,648667;55,763238
3396;"Москва, Покровка ул, д.31, стр.2";" ";" ";" ";"Россия, Москва, улица Покровка, 31с2";10851;37,649337;55,761086;1109;0,002252;37,648667;55,763238
3397;"Москва, Покровка ул, д.31, стр.3";" ";" ";" ";"Россия, Москва, улица Покровка, 31с3";10852;37,649022;55,760996;1109;0,002269;37,648667;55,763238
3398;"Москва, Покровка ул, д.31, стр.4";" ";" ";" ";"Россия, Москва, улица Покровка, 31с4";10853;37,648627;55,761071;1109;0,002166;37,648667;55,763238
3399;"Москва, Покровка ул, д.32";" ";" ";" ";"Россия, Москва, улица Покровка, 32";10854;37,650333;55,760701;1723;0,002114;37,651526;55,758956
3400;"Москва, Покровка ул, д.33";" ";" ";" ";"Россия, Москва, улица Покровка, 33";10855;37,649794;55,761021;1109;0,002487;37,648667;55,763238
3401;"Москва, Покровка ул, д.34";" ";" ";" ";"Россия, Москва, улица Покровка, 34";10856;37,650746;55,760848;1723;0,002047;37,651526;55,758956
3402;"Москва, Покровка ул, д.35/17, стр.1";" ";" ";" ";"Россия, Москва, улица Покровка, 35/17с1";10857;37,650603;55,761315;1723;0,002533;37,651526;55,758956
3403;"Москва, Покровка ул, д.35/17, стр.2";" ";" ";" ";"Россия, Москва, улица Покровка, 35/17с1";10858;37,650603;55,761315;1723;0,002533;37,651526;55,758956
3404;"Москва, Покровка ул, д.37, стр.1";" ";" ";" ";"Россия, Москва, улица Покровка, 37с1";10859;37,651034;55,761673;1723;0,002761;37,651526;55,758956
3405;"Москва, Покровка ул, д.37/15, стр.4";" ";" ";" ";"Россия, Москва, улица Покровка, 37/15с4";10860;37,650442;55,762151;1109;0,002081;37,648667;55,763238
3406;"Москва, Покровка ул, д.38, стр.1";" ";" ";" ";"Россия, Москва, улица Покровка, 38с1";10861;37,651276;55,761258;1723;0,002316;37,651526;55,758956
3407;"Москва, Покровка ул, д.38, стр.5";" ";" ";" ";"Россия, Москва, улица Покровка, 38с5";10862;37,652174;55,761846;1723;0,002962;37,651526;55,758956
3408;"Москва, Покровка ул, д.38А";" ";" ";" ";"Россия, Москва, улица Покровка, 38а";10863;37,651708;55,761516;1723;0,002567;37,651526;55,758956
3409;"Москва, Покровка ул, д.39, стр.1";" ";" ";" ";"Россия, Москва, улица Покровка, 39с3";10864;37,651268;55,762368;1109;0,002742;37,648667;55,763238
3410;"Москва, Покровка ул, д.39, стр.3";" ";" ";" ";"Россия, Москва, улица Покровка, 39с3";10865;37,651268;55,762368;1109;0,002742;37,648667;55,763238
