"OBJECTID";"ADDRESS";"settlement";"street";"building_n";"geocoded";"ID";"OBJECTID_1";"HOUSE_ID";"SCHOOL_ID";"POINT_X";"POINT_Y"
277;"Москва, Чистопрудный бульв., д.12, корп.5";" ";" ";" ";"Россия, Москва, Чистопрудный бульвар, 12к5";250;250;250;577;37,642482;55,760974
278;"Москва, Чистопрудный бульв., д.12, корп.5";" ";" ";" ";"Россия, Москва, Чистопрудный бульвар, 12к5";250;513;250;1125;37,642482;55,760974
279;"Москва, Чистопрудный бульв., д.12, корп.5";" ";" ";" ";"Россия, Москва, Чистопрудный бульвар, 12к5";250;776;250;727;37,642482;55,760974
280;"Москва, Чистопрудный бульв., д.12, стр.6";" ";" ";" ";"Россия, Москва, Чистопрудный бульвар, 12с6";251;251;251;577;37,642149;55,761633
281;"Москва, Чистопрудный бульв., д.12, стр.6";" ";" ";" ";"Россия, Москва, Чистопрудный бульвар, 12с6";251;514;251;1125;37,642149;55,761633
282;"Москва, Чистопрудный бульв., д.12, стр.6";" ";" ";" ";"Россия, Москва, Чистопрудный бульвар, 12с6";251;777;251;727;37,642149;55,761633
283;"Москва, Чистопрудный бульв., д.14, стр.3";" ";" ";" ";"Россия, Москва, Чистопрудный бульвар, 14с3";255;255;255;577;37,644477;55,759896
284;"Москва, Чистопрудный бульв., д.14, стр.3";" ";" ";" ";"Россия, Москва, Чистопрудный бульвар, 14с3";255;518;255;1125;37,644477;55,759896
285;"Москва, Чистопрудный бульв., д.14, стр.3";" ";" ";" ";"Россия, Москва, Чистопрудный бульвар, 14с3";255;781;255;727;37,644477;55,759896
286;"Москва, Чистопрудный бульв., д.23, стр.1";" ";" ";" ";"Россия, Москва, Чистопрудный бульвар, 23с1";260;260;260;577;37,646803;55,760276
287;"Москва, Чистопрудный бульв., д.23, стр.1";" ";" ";" ";"Россия, Москва, Чистопрудный бульвар, 23с1";260;523;260;1125;37,646803;55,760276
288;"Москва, Чистопрудный бульв., д.23, стр.1";" ";" ";" ";"Россия, Москва, Чистопрудный бульвар, 23с1";260;786;260;727;37,646803;55,760276
289;"Москва, Малый Ивановский пер, д.13/5";" ";" ";" ";"Россия, Москва, Малый Ивановский переулок, 13/5";265;791;265;586;37,640947;55,753052
290;"Москва, Малый Ивановский пер, д.13/5";" ";" ";" ";"Россия, Москва, Малый Ивановский переулок, 13/5";265;1222;265;246;37,640947;55,753052
291;"Москва, Малый Ивановский пер, д.13/5";" ";" ";" ";"Россия, Москва, Малый Ивановский переулок, 13/5";265;1653;265;1107;37,640947;55,753052
292;"Москва, Малый Ивановский пер, д.13/5";" ";" ";" ";"Россия, Москва, Малый Ивановский переулок, 13/5";265;2084;265;975;37,640947;55,753052
293;"Москва, Малый Ивановский пер, д.13/5";" ";" ";" ";"Россия, Москва, Малый Ивановский переулок, 13/5";265;2515;265;1020;37,640947;55,753052
294;"Москва, Малый Ивановский пер, д.13/5";" ";" ";" ";"Россия, Москва, Малый Ивановский переулок, 13/5";265;2946;265;185;37,640947;55,753052
295;"Москва, Москворецкая наб, д.9А";" ";" ";" ";"Россия, Москва, Москворецкая набережная, 9ас12";266;792;266;586;37,639706;55,749328
296;"Москва, Москворецкая наб, д.9А";" ";" ";" ";"Россия, Москва, Москворецкая набережная, 9ас12";266;1223;266;246;37,639706;55,749328
297;"Москва, Москворецкая наб, д.9А";" ";" ";" ";"Россия, Москва, Москворецкая набережная, 9ас12";266;1654;266;1107;37,639706;55,749328
298;"Москва, Москворецкая наб, д.9А";" ";" ";" ";"Россия, Москва, Москворецкая набережная, 9ас12";266;2085;266;975;37,639706;55,749328
299;"Москва, Москворецкая наб, д.9А";" ";" ";" ";"Россия, Москва, Москворецкая набережная, 9ас12";266;2516;266;1020;37,639706;55,749328
300;"Москва, Москворецкая наб, д.9А";" ";" ";" ";"Россия, Москва, Москворецкая набережная, 9ас12";266;2947;266;185;37,639706;55,749328
301;"Москва, Покровский бульв., д.11";" ";" ";" ";"Россия, Москва, Покровский бульвар, 11кас1а";267;793;267;586;37,648851;55,753619
302;"Москва, Покровский бульв., д.11";" ";" ";" ";"Россия, Москва, Покровский бульвар, 11кас1а";267;1224;267;246;37,648851;55,753619
303;"Москва, Покровский бульв., д.11";" ";" ";" ";"Россия, Москва, Покровский бульвар, 11кас1а";267;1655;267;1107;37,648851;55,753619
304;"Москва, Покровский бульв., д.11";" ";" ";" ";"Россия, Москва, Покровский бульвар, 11кас1а";267;2086;267;975;37,648851;55,753619
305;"Москва, Покровский бульв., д.11";" ";" ";" ";"Россия, Москва, Покровский бульвар, 11кас1а";267;2517;267;1020;37,648851;55,753619
306;"Москва, Покровский бульв., д.11";" ";" ";" ";"Россия, Москва, Покровский бульвар, 11кас1а";267;2948;267;185;37,648851;55,753619
307;"Москва, 2-й Сыромятнический пер, д.10";" ";" ";" ";"Россия, Москва, 2-й Сыромятнический переулок, 10";269;795;269;586;37,662038;55,752251
308;"Москва, 2-й Сыромятнический пер, д.10";" ";" ";" ";"Россия, Москва, 2-й Сыромятнический переулок, 10";269;1226;269;246;37,662038;55,752251
309;"Москва, 2-й Сыромятнический пер, д.10";" ";" ";" ";"Россия, Москва, 2-й Сыромятнический переулок, 10";269;1657;269;1107;37,662038;55,752251
310;"Москва, 2-й Сыромятнический пер, д.10";" ";" ";" ";"Россия, Москва, 2-й Сыромятнический переулок, 10";269;2088;269;975;37,662038;55,752251
311;"Москва, 2-й Сыромятнический пер, д.10";" ";" ";" ";"Россия, Москва, 2-й Сыромятнический переулок, 10";269;2519;269;1020;37,662038;55,752251
312;"Москва, 2-й Сыромятнический пер, д.10";" ";" ";" ";"Россия, Москва, 2-й Сыромятнический переулок, 10";269;2950;269;185;37,662038;55,752251
313;"Москва, 2-й Сыромятнический пер, д.4, стр.1";" ";" ";" ";"Россия, Москва, 2-й Сыромятнический переулок, 4с1";270;796;270;586;37,661238;55,753590
314;"Москва, 2-й Сыромятнический пер, д.4, стр.1";" ";" ";" ";"Россия, Москва, 2-й Сыромятнический переулок, 4с1";270;1227;270;246;37,661238;55,753590
315;"Москва, 2-й Сыромятнический пер, д.4, стр.1";" ";" ";" ";"Россия, Москва, 2-й Сыромятнический переулок, 4с1";270;1658;270;1107;37,661238;55,753590
316;"Москва, 2-й Сыромятнический пер, д.4, стр.1";" ";" ";" ";"Россия, Москва, 2-й Сыромятнический переулок, 4с1";270;2089;270;975;37,661238;55,753590
